Nagłówek,Cena całkowita (zł),Cena za metr (zł/m2)
16.630,600 M do plaży loggia 50m do lasu apartamentowiec,449.000
"Mieszkanie, 34,60 m², Gdynia",14.422,499.000
557.000,10.509,Tylko u nas. Mieszkanie 3 pokoje z super widokiem
499.995,11.820,"Dwa pokoje, serce Witomina 5 min do Śródmieścia"
10.075,535.000,"Klimatyczne, 3 pokoje, do wprowadzenia"
12.528,Apartament Na Skale Twoich Marzeń,550.000
13.168,Mieszkanie 2pokoje Gdynia Wielki Kack Nowodworcowa,399.000
Gdynia Leszczynki-2 piętro-2 pokoje-blisko do SKM,439.000,9.964
9.231,Mieszkanie 2 pok. z balkonem na Karwinach,540.000
10.025,399.000,Piękne 3 pok. mieszkanie po generalnym remoncie
"Gdynia, Obłuże Benisławskiego 23, 50,80 m2, II/IV",516.000,10.157
Dwupokojowe mieszkanie w Gdyni Wiczlinie,12.458,515.000
12.595,Sprzedam mieszkanie dwupokojowe,330.000
Mieszkanie 3 pokoje na Fikakowie Wielki Kack,579.000,12.007
Mieszkanie w Gdyni Śródmieście ul. Świętojańska,13.000,559.000
16.630,600 M do plaży loggia 50m do lasu apartamentowiec,449.000
12.200,539.118,Nowe mieszkanie | Mała Chylońska | A.0.3
10.984,440.000,"2 pokojowe mieszkanie w Gdyni Chyloni, umeblowane"
10.454,Komfortowe 3 Pokoje Przy Lesie,599.000
600.000,10.000,Mieszkanie 3 pokojowe Gdynia Karwiny
Wyjątkowa okazja! 2 Pok | Chylonia | Spółdzielcze,419.000,10.969
Mieszkanie 2 pokojowe po kapitalnym remoncie,550.000,12.500
435.003,12.450,Gdynia - KG18 - dwupokojowe mieszkanie - GOTOWE
12.352,580.551,Gdynia - KG18 - trzypokojowe mieszkanie - GOTOWE
Mieszkanie 2-pokojowe w Gdyni Witomino,8.897,379.000
Nowa niższa cena! Tylko do 15 kwietnia!,9.150,549.000
450.000,12.640,"2 pok. 35,60 m2, słoneczne Gdynia Karwiny"
Gdynia Oksywie|Pod Najem|Spółdzielczo-Własnościowe,11.663,359.000
Lokalizacja|Wysoki parter|Pod najem|2 pok.|Gdynia,12.507,449.000
599.000,3 pok.|Spółdzielczo-własnościowe|Po remoncie,11.196
2 pokoje Gdynia Orzeszkowej 11 piętro 1,13.142,435.000
"Gdynia, 2 pokoje z balkonem",395.000,10.128
12.746,"Przestrzenne 47m2, Wyposażenie w cenie, Zadbane!",595.000
Zapytaj o cenę,Cis Park | apartament 2-pok. | A.0.3
560.000,Kompaktowe 2 pokoje z ogrodem w nowym budownictwie,11.236
515.000,11.908,Przytulne i ciche z widokiem na zieleń- Gdynia
Kawalerka Do Zamieszkania-Bez Nakładów Finansowych,13.690,420.000
"Mieszkanie, 34,60 m², Gdynia",14.422,499.000
